CIK list from SEC website. ALL 
,0
875,1064306
876,1288087
877,1292433
878,930828
879,1234999
880,1115561
881,854877
882,933685
883,1025209
884,938505
885,944306
886,732439
887,1195652
888,1187901
889,1235371
890,1260968
891,1233035
892,1033997
893,1177511
894,879358
895,1278937
896,1300653
897,1285371
898,949926
899,1123251
900,1004740
901,1285538
902,320575
903,48732
904,1180770
905,840319
906,1236527
907,1123845
908,1298266
909,1170370
910,1302565
911,1116581
912,1208798
913,1242322
914,1077610
915,108215
916,1143936
917,1019542
918,1078246
919,1135939
920,928911
921,1185825
922,887153
923,1026175
924,1241565
925,1196422
926,1236615
927,1191985
928,29989
929,1302204
930,949852
931,1048620
932,1019897
933,753058
934,1168786
935,1226191
936,1123312
937,944868
938,947823
939,1192930
940,1236711
941,1237023
942,23082
943,1301462
944,1050140
945,1228140
946,1300162
947,1218989
948,1232537
949,1196872
950,1257102
951,1247456
952,943946
953,1070906
954,1194066
955,1085024
956,1168824
957,1007086
958,1295310
959,920033
960,1188024
961,1096631
962,34879
963,1133196
964,1227365
965,1265769
966,793043
967,1162862
968,1224071
969,1205324
970,912263
971,1219204
972,1243080
973,1043473
974,1214699
975,1273129
976,1296533
977,1291776
978,1206438
979,1295118
980,1211091
981,1207356
982,1157472
983,1130416
984,1106983
985,1126599
986,1281039
987,894490
988,949905
989,1211592
990,1083269
991,1298546
992,1246595
993,1253640
994,1050096
995,883741
996,1300833
997,1060794
998,740761
999,1061656
1000,1203269
1001,1268009
1002,14073
1003,1299171
1004,1035219
1005,1084755
1006,892832
1007,1207288
1008,1189268
1009,1016648
1010,1304103
1011,1064478
1012,1177510
1013,865754
1014,890089
1015,354053
1016,1181599
1017,1279437
1018,1067483
1019,1243892
1020,1303869
1021,1246288
1022,1293493
1023,1077866
1024,1158131
1025,1297120
1026,1297099
1027,1297838
1028,1170994
1029,25600
1030,751250
1031,1301649
1032,1159281
1033,1300303
1034,1282142
1035,1256073
1036,1234561
1037,1193778
1038,1191239
1039,1296648
1040,1303800
1041,1282400
1042,799729
1043,1241093
1044,1273217
1045,1174471
1046,1235633
1047,1179607
1048,1238749
1049,1299695
1050,276272
1051,1298212
1052,1299855
1053,1301983
1054,1205881
1055,1235670
1056,1235548
1057,933483
1058,1256470
1059,1160332
1060,1084057
1061,1294173
